// Hourly electricity consumption with clear daily (24h) and weekly (168h) seasonality
# Energy usage drops on weekends - perfect for demonstrating Fourier features!
# Generate by: forecastlab demo --example energy-fourier

timestamp,value
2024-01-01 00:00,1250
2024-01-01 01:00,1180
2024-01-01 02:00,1120
2024-01-01 03:00,1090
2024-01-01 04:00,1070
2024-01-01 05:00,1080
2024-01-01 06:00,1150
2024-01-01 07:00,1320
2024-01-01 08:00,1580
2024-01-01 09:00,1750
2024-01-01 10:00,1820
2024-01-01 11:00,1850
2024-01-01 12:00,1830
2024-01-01 13:00,1810
2024-01-01 14:00,1840
2024-01-01 15:00,1860
2024-01-01 16:00,1820
2024-01-01 17:00,1780
2024-01-01 18:00,1720
2024-01-01 19:00,1650
2024-01-01 20:00,1580
2024-01-01 21:00,1520
2024-01-01 22:00,1450
2024-01-01 23:00,1350
2024-01-02 00:00,1240
2024-01-02 01:00,1170
2024-01-02 02:00,1110
2024-01-02 03:00,1080
2024-01-02 04:00,1060
2024-01-02 05:00,1070
2024-01-02 06:00,1140
2024-01-02 07:00,1310
2024-01-02 08:00,1570
2024-01-02 09:00,1740
2024-01-02 10:00,1810
2024-01-02 11:00,1840
2024-01-02 12:00,1820
2024-01-02 13:00,1800
2024-01-02 14:00,1830
2024-01-02 15:00,1850
2024-01-02 16:00,1810
2024-01-02 17:00,1770
2024-01-02 18:00,1710
2024-01-02 19:00,1640
2024-01-02 20:00,1570
2024-01-02 21:00,1510
2024-01-02 22:00,1440
2024-01-02 23:00,1340
2024-01-03 00:00,1230
2024-01-03 01:00,1160
2024-01-03 02:00,1100
2024-01-03 03:00,1070
2024-01-03 04:00,1050
2024-01-03 05:00,1060
2024-01-03 06:00,1130
2024-01-03 07:00,1300
2024-01-03 08:00,1560
2024-01-03 09:00,1730
2024-01-03 10:00,1800
2024-01-03 11:00,1830
2024-01-03 12:00,1810
2024-01-03 13:00,1790
2024-01-03 14:00,1820
2024-01-03 15:00,1840
2024-01-03 16:00,1800
2024-01-03 17:00,1760
2024-01-03 18:00,1700
2024-01-03 19:00,1630
2024-01-03 20:00,1560
2024-01-03 21:00,1500
2024-01-03 22:00,1430
2024-01-03 23:00,1330
2024-01-04 00:00,1220
2024-01-04 01:00,1150
2024-01-04 02:00,1090
2024-01-04 03:00,1060
2024-01-04 04:00,1040
2024-01-04 05:00,1050
2024-01-04 06:00,1120
2024-01-04 07:00,1290
2024-01-04 08:00,1550
2024-01-04 09:00,1720
2024-01-04 10:00,1790
2024-01-04 11:00,1820
2024-01-04 12:00,1800
2024-01-04 13:00,1780
2024-01-04 14:00,1810
2024-01-04 15:00,1830
2024-01-04 16:00,1790
2024-01-04 17:00,1750
2024-01-04 18:00,1690
2024-01-04 19:00,1620
2024-01-04 20:00,1550
2024-01-04 21:00,1490
2024-01-04 22:00,1420
2024-01-04 23:00,1320
2024-01-05 00:00,1210
2024-01-05 01:00,1140
2024-01-05 02:00,1080
2024-01-05 03:00,1050
2024-01-05 04:00,1030
2024-01-05 05:00,1040
2024-01-05 06:00,1110
2024-01-05 07:00,1280
2024-01-05 08:00,1540
2024-01-05 09:00,1710
2024-01-05 10:00,1780
2024-01-05 11:00,1810
2024-01-05 12:00,1790
2024-01-05 13:00,1770
2024-01-05 14:00,1800
2024-01-05 15:00,1820
2024-01-05 16:00,1780
2024-01-05 17:00,1740
2024-01-05 18:00,1680
2024-01-05 19:00,1610
2024-01-05 20:00,1540
2024-01-05 21:00,1480
2024-01-05 22:00,1410
2024-01-05 23:00,1310
2024-01-06 00:00,1150
2024-01-06 01:00,1090
2024-01-06 02:00,1040
2024-01-06 03:00,1020
2024-01-06 04:00,1010
2024-01-06 05:00,1020
2024-01-06 06:00,1070
2024-01-06 07:00,1200
2024-01-06 08:00,1400
2024-01-06 09:00,1550
2024-01-06 10:00,1620
2024-01-06 11:00,1660
2024-01-06 12:00,1650
2024-01-06 13:00,1640
2024-01-06 14:00,1670
2024-01-06 15:00,1690
2024-01-06 16:00,1660
2024-01-06 17:00,1620
2024-01-06 18:00,1560
2024-01-06 19:00,1500
2024-01-06 20:00,1440
2024-01-06 21:00,1390
2024-01-06 22:00,1340
2024-01-06 23:00,1260
2024-01-07 00:00,1140
2024-01-07 01:00,1080
2024-01-07 02:00,1030
2024-01-07 03:00,1010
2024-01-07 04:00,1000
2024-01-07 05:00,1010
2024-01-07 06:00,1060
2024-01-07 07:00,1190
2024-01-07 08:00,1390
2024-01-07 09:00,1540
2024-01-07 10:00,1610
2024-01-07 11:00,1650
2024-01-07 12:00,1640
2024-01-07 13:00,1630
2024-01-07 14:00,1660
2024-01-07 15:00,1680
2024-01-07 16:00,1650
2024-01-07 17:00,1610
2024-01-07 18:00,1550
2024-01-07 19:00,1490
2024-01-07 20:00,1430
2024-01-07 21:00,1380
2024-01-07 22:00,1330
2024-01-07 23:00,1250
2024-01-08 00:00,1240
2024-01-08 01:00,1170
2024-01-08 02:00,1110
2024-01-08 03:00,1080
2024-01-08 04:00,1060
2024-01-08 05:00,1070
2024-01-08 06:00,1140
2024-01-08 07:00,1310
2024-01-08 08:00,1570
2024-01-08 09:00,1740
2024-01-08 10:00,1810
2024-01-08 11:00,1840
2024-01-08 12:00,1820
2024-01-08 13:00,1800
2024-01-08 14:00,1830
2024-01-08 15:00,1850
2024-01-08 16:00,1810
2024-01-08 17:00,1770
2024-01-08 18:00,1710
2024-01-08 19:00,1640
2024-01-08 20:00,1570
2024-01-08 21:00,1510
2024-01-08 22:00,1440
2024-01-08 23:00,1340
