timestamp,value
2026-04-01T00:00:00.000Z,2.383
2026-04-02T00:00:00.000Z,2.419
2026-04-03T00:00:00.000Z,2.508
2026-04-04T00:00:00.000Z,2.693
2026-04-05T00:00:00.000Z,2.578
2026-04-06T00:00:00.000Z,2.714
2026-04-07T00:00:00.000Z,2.699
2026-04-08T00:00:00.000Z,2.623
2026-04-09T00:00:00.000Z,2.830
2026-04-10T00:00:00.000Z,2.726
2026-04-11T00:00:00.000Z,2.823
2026-04-12T00:00:00.000Z,2.840
2026-04-13T00:00:00.000Z,2.952
2026-04-14T00:00:00.000Z,2.908
2026-04-15T00:00:00.000Z,2.870
2026-04-16T00:00:00.000Z,2.937
2026-04-17T00:00:00.000Z,2.918
2026-04-18T00:00:00.000Z,2.858
2026-04-19T00:00:00.000Z,2.947
2026-04-20T00:00:00.000Z,2.808
2026-04-21T00:00:00.000Z,2.886
2026-04-22T00:00:00.000Z,3.044
2026-04-23T00:00:00.000Z,3.285
2026-04-24T00:00:00.000Z,3.485
2026-04-25T00:00:00.000Z,3.596
2026-04-26T00:00:00.000Z,3.402
2026-04-27T00:00:00.000Z,3.098
2026-04-28T00:00:00.000Z,2.891
2026-04-29T00:00:00.000Z,2.664
2026-04-30T00:00:00.000Z,2.531
2026-05-01T00:00:00.000Z,2.397
2026-05-02T00:00:00.000Z,2.291
2026-05-03T00:00:00.000Z,2.259
2026-05-04T00:00:00.000Z,2.268
2026-05-05T00:00:00.000Z,2.230
2026-05-06T00:00:00.000Z,2.086
2026-05-07T00:00:00.000Z,2.163
2026-05-08T00:00:00.000Z,2.002
2026-05-09T00:00:00.000Z,1.995
2026-05-10T00:00:00.000Z,1.934
2026-05-11T00:00:00.000Z,1.895
2026-05-12T00:00:00.000Z,1.938
2026-05-13T00:00:00.000Z,1.904
2026-05-14T00:00:00.000Z,1.845
2026-05-15T00:00:00.000Z,1.847
2026-05-16T00:00:00.000Z,1.799
2026-05-17T00:00:00.000Z,1.893
2026-05-18T00:00:00.000Z,2.056
2026-05-19T00:00:00.000Z,1.891
2026-05-20T00:00:00.000Z,1.935
2026-05-21T00:00:00.000Z,2.021
2026-05-22T00:00:00.000Z,1.942
2026-05-23T00:00:00.000Z,1.938
2026-05-24T00:00:00.000Z,2.086
2026-05-25T00:00:00.000Z,2.043
2026-05-26T00:00:00.000Z,2.159
2026-05-27T00:00:00.000Z,2.258
2026-05-28T00:00:00.000Z,2.297
2026-05-29T00:00:00.000Z,2.363
2026-05-30T00:00:00.000Z,2.336
2026-05-31T00:00:00.000Z,2.376
2026-06-01T00:00:00.000Z,2.485
2026-06-02T00:00:00.000Z,2.499
2026-06-03T00:00:00.000Z,2.532
2026-06-04T00:00:00.000Z,2.608
2026-06-05T00:00:00.000Z,2.642
2026-06-06T00:00:00.000Z,2.715
2026-06-07T00:00:00.000Z,2.833
2026-06-08T00:00:00.000Z,2.785
2026-06-09T00:00:00.000Z,2.825
2026-06-10T00:00:00.000Z,2.795
2026-06-11T00:00:00.000Z,2.868
2026-06-12T00:00:00.000Z,2.877
2026-06-13T00:00:00.000Z,2.999
2026-06-14T00:00:00.000Z,2.969
2026-06-15T00:00:00.000Z,2.945
2026-06-16T00:00:00.000Z,2.861
2026-06-17T00:00:00.000Z,2.839
2026-06-18T00:00:00.000Z,2.934
2026-06-19T00:00:00.000Z,2.842
2026-06-20T00:00:00.000Z,2.938
2026-06-21T00:00:00.000Z,2.760
2026-06-22T00:00:00.000Z,2.773
2026-06-23T00:00:00.000Z,2.740
2026-06-24T00:00:00.000Z,2.818
2026-06-25T00:00:00.000Z,2.940
2026-06-26T00:00:00.000Z,3.279
2026-06-27T00:00:00.000Z,3.546
2026-06-28T00:00:00.000Z,3.756
2026-06-29T00:00:00.000Z,3.449
2026-06-30T00:00:00.000Z,3.111
2026-07-01T00:00:00.000Z,2.808
2026-07-02T00:00:00.000Z,2.512
2026-07-03T00:00:00.000Z,2.227
2026-07-04T00:00:00.000Z,2.259
2026-07-05T00:00:00.000Z,2.178
2026-07-06T00:00:00.000Z,2.119
2026-07-07T00:00:00.000Z,1.980
2026-07-08T00:00:00.000Z,2.044
2026-07-09T00:00:00.000Z,1.986
2026-07-10T00:00:00.000Z,8.700
2026-07-11T00:00:00.000Z,1.914
2026-07-12T00:00:00.000Z,1.792
2026-07-13T00:00:00.000Z,1.758
2026-07-14T00:00:00.000Z,1.956
2026-07-15T00:00:00.000Z,1.949
2026-07-16T00:00:00.000Z,1.892
2026-07-17T00:00:00.000Z,1.780
2026-07-18T00:00:00.000Z,1.915
