timestamp,temperature,price,demand
2026-07-01T00:00:00.000Z,25.25,0.1630,549.3
2026-07-01T01:00:00.000Z,22.87,0.1522,499.7
2026-07-01T02:00:00.000Z,22.17,0.1644,452.0
2026-07-01T03:00:00.000Z,20.17,0.1714,412.9
2026-07-01T04:00:00.000Z,17.87,0.1465,388.8
2026-07-01T05:00:00.000Z,17.45,0.1429,375.2
2026-07-01T06:00:00.000Z,14.39,0.1473,357.4
2026-07-01T07:00:00.000Z,14.04,0.1413,348.6
2026-07-01T08:00:00.000Z,13.52,0.1245,362.5
2026-07-01T09:00:00.000Z,13.98,0.1310,424.1
2026-07-01T10:00:00.000Z,13.41,0.1258,401.9
2026-07-01T11:00:00.000Z,14.60,0.1168,419.0
2026-07-01T12:00:00.000Z,14.87,0.1074,447.6
2026-07-01T13:00:00.000Z,17.54,0.1125,483.5
2026-07-01T14:00:00.000Z,18.77,0.1186,515.6
2026-07-01T15:00:00.000Z,19.76,0.1195,536.8
2026-07-01T16:00:00.000Z,21.49,0.1228,588.8
2026-07-01T17:00:00.000Z,24.74,0.1268,608.3
2026-07-01T18:00:00.000Z,24.49,0.1426,649.7
2026-07-01T19:00:00.000Z,27.31,0.1382,672.8
2026-07-01T20:00:00.000Z,27.51,0.1484,684.5
2026-07-01T21:00:00.000Z,27.38,0.1667,659.1
2026-07-01T22:00:00.000Z,26.77,0.1785,618.2
2026-07-01T23:00:00.000Z,26.43,0.1633,561.5
2026-07-02T00:00:00.000Z,25.71,0.1691,573.0
2026-07-02T01:00:00.000Z,25.64,0.1639,496.4
2026-07-02T02:00:00.000Z,24.97,0.1625,472.7
2026-07-02T03:00:00.000Z,22.18,0.1522,421.5
2026-07-02T04:00:00.000Z,20.21,0.1438,408.8
2026-07-02T05:00:00.000Z,19.76,0.1422,396.8
2026-07-02T06:00:00.000Z,15.92,0.1366,386.8
2026-07-02T07:00:00.000Z,15.53,0.1246,375.0
2026-07-02T08:00:00.000Z,14.92,0.1241,396.9
2026-07-02T09:00:00.000Z,16.14,0.1034,441.3
2026-07-02T10:00:00.000Z,16.14,0.0984,468.5
2026-07-02T11:00:00.000Z,14.93,0.1057,485.0
2026-07-02T12:00:00.000Z,18.63,0.1069,494.7
2026-07-02T13:00:00.000Z,18.11,0.0957,512.3
2026-07-02T14:00:00.000Z,21.28,0.1187,540.0
2026-07-02T15:00:00.000Z,21.54,0.1204,560.1
2026-07-02T16:00:00.000Z,23.10,0.1056,576.2
2026-07-02T17:00:00.000Z,26.09,0.1266,657.9
2026-07-02T18:00:00.000Z,26.02,0.1322,660.3
2026-07-02T19:00:00.000Z,27.62,0.1317,692.0
2026-07-02T20:00:00.000Z,29.85,0.1434,708.6
2026-07-02T21:00:00.000Z,29.06,0.1444,695.4
2026-07-02T22:00:00.000Z,29.45,0.1500,649.6
2026-07-02T23:00:00.000Z,28.04,0.1600,632.5
2026-07-03T00:00:00.000Z,28.36,0.1602,562.5
2026-07-03T01:00:00.000Z,26.11,0.1502,522.8
2026-07-03T02:00:00.000Z,24.65,0.1585,489.7
2026-07-03T03:00:00.000Z,24.14,0.1413,426.8
2026-07-03T04:00:00.000Z,20.40,0.1470,442.0
2026-07-03T05:00:00.000Z,19.89,0.1269,416.6
2026-07-03T06:00:00.000Z,19.13,0.1251,423.0
2026-07-03T07:00:00.000Z,17.78,0.1105,423.9
2026-07-03T08:00:00.000Z,17.12,0.1019,439.9
2026-07-03T09:00:00.000Z,17.29,0.1026,456.2
2026-07-03T10:00:00.000Z,15.22,0.0905,474.2
2026-07-03T11:00:00.000Z,18.39,0.0873,506.7
2026-07-03T12:00:00.000Z,18.61,0.0959,523.1
2026-07-03T13:00:00.000Z,20.57,0.0791,540.8
2026-07-03T14:00:00.000Z,20.68,0.0936,566.5
2026-07-03T15:00:00.000Z,22.74,0.0944,568.0
2026-07-03T16:00:00.000Z,25.29,0.1093,623.8
2026-07-03T17:00:00.000Z,26.70,0.1208,662.6
2026-07-03T18:00:00.000Z,27.84,0.1294,667.7
2026-07-03T19:00:00.000Z,28.55,0.1251,684.7
2026-07-03T20:00:00.000Z,29.53,0.1313,697.8
2026-07-03T21:00:00.000Z,30.54,0.1483,695.4
2026-07-03T22:00:00.000Z,29.76,0.1395,664.9
2026-07-03T23:00:00.000Z,28.39,0.1477,656.3
2026-07-04T00:00:00.000Z,27.01,0.1362,543.0
2026-07-04T01:00:00.000Z,26.78,0.1447,527.0
2026-07-04T02:00:00.000Z,24.86,0.1306,446.2
2026-07-04T03:00:00.000Z,22.91,0.1241,429.1
2026-07-04T04:00:00.000Z,20.32,0.1203,397.9
2026-07-04T05:00:00.000Z,19.60,0.1142,386.5
2026-07-04T06:00:00.000Z,17.63,0.1104,400.3
2026-07-04T07:00:00.000Z,16.73,0.1084,386.5
2026-07-04T08:00:00.000Z,16.56,0.0992,393.8
2026-07-04T09:00:00.000Z,14.88,0.0959,399.8
2026-07-04T10:00:00.000Z,15.71,0.0842,425.3
2026-07-04T11:00:00.000Z,15.75,0.0874,498.3
2026-07-04T12:00:00.000Z,18.24,0.0722,465.5
2026-07-04T13:00:00.000Z,18.69,0.0742,512.6
2026-07-04T14:00:00.000Z,20.86,0.0861,523.2
2026-07-04T15:00:00.000Z,21.97,0.0790,545.2
2026-07-04T16:00:00.000Z,23.49,0.0941,589.0
2026-07-04T17:00:00.000Z,26.34,0.1110,635.0
2026-07-04T18:00:00.000Z,28.50,0.1004,629.3
2026-07-04T19:00:00.000Z,29.87,0.1192,699.9
2026-07-04T20:00:00.000Z,28.85,0.1306,672.5
2026-07-04T21:00:00.000Z,29.64,0.1308,649.0
2026-07-04T22:00:00.000Z,28.72,0.1366,638.5
2026-07-04T23:00:00.000Z,29.96,0.1393,602.5
2026-07-05T00:00:00.000Z,27.14,0.1274,540.7
2026-07-05T01:00:00.000Z,24.27,0.1380,505.0
2026-07-05T02:00:00.000Z,21.56,0.1379,437.6
2026-07-05T03:00:00.000Z,20.48,0.1234,389.8
2026-07-05T04:00:00.000Z,19.35,0.1129,405.0
2026-07-05T05:00:00.000Z,16.05,0.1158,359.4
2026-07-05T06:00:00.000Z,16.32,0.1022,367.9
2026-07-05T07:00:00.000Z,14.10,0.0904,365.0
2026-07-05T08:00:00.000Z,13.96,0.0866,389.8
2026-07-05T09:00:00.000Z,14.42,0.0793,424.4
2026-07-05T10:00:00.000Z,13.49,0.0628,447.3
2026-07-05T11:00:00.000Z,15.89,0.0747,486.6
2026-07-05T12:00:00.000Z,16.21,0.0723,470.2
2026-07-05T13:00:00.000Z,17.42,0.0692,502.2
2026-07-05T14:00:00.000Z,20.89,0.0835,552.3
2026-07-05T15:00:00.000Z,21.89,0.0831,560.8
2026-07-05T16:00:00.000Z,21.80,0.0931,596.9
2026-07-05T17:00:00.000Z,24.02,0.0939,597.2
2026-07-05T18:00:00.000Z,26.94,0.0985,650.5
2026-07-05T19:00:00.000Z,27.90,0.1102,693.2
2026-07-05T20:00:00.000Z,27.60,0.1123,684.5
2026-07-05T21:00:00.000Z,28.41,0.1326,683.1
2026-07-05T22:00:00.000Z,27.77,0.1189,636.2
2026-07-05T23:00:00.000Z,28.19,0.1380,651.2
2026-07-06T00:00:00.000Z,23.60,0.1408,595.8
2026-07-06T01:00:00.000Z,22.56,0.1332,522.1
2026-07-06T02:00:00.000Z,20.33,0.1330,470.6
2026-07-06T03:00:00.000Z,18.44,0.1181,448.8
2026-07-06T04:00:00.000Z,17.51,0.1178,412.5
2026-07-06T05:00:00.000Z,15.41,0.1136,393.5
2026-07-06T06:00:00.000Z,14.16,0.1014,414.6
2026-07-06T07:00:00.000Z,12.38,0.0924,402.6
2026-07-06T08:00:00.000Z,12.13,0.1019,435.4
2026-07-06T09:00:00.000Z,11.77,0.0791,432.6
2026-07-06T10:00:00.000Z,11.53,0.0735,491.6
2026-07-06T11:00:00.000Z,12.17,0.0785,492.9
2026-07-06T12:00:00.000Z,14.12,0.0808,481.7
2026-07-06T13:00:00.000Z,15.92,0.0808,536.8
2026-07-06T14:00:00.000Z,16.94,0.0935,541.1
2026-07-06T15:00:00.000Z,18.74,0.0830,579.9
2026-07-06T16:00:00.000Z,21.09,0.0897,632.7
2026-07-06T17:00:00.000Z,21.43,0.0871,651.5
2026-07-06T18:00:00.000Z,23.35,0.1028,706.4
2026-07-06T19:00:00.000Z,24.14,0.1078,691.9
2026-07-06T20:00:00.000Z,25.22,0.1197,696.5
2026-07-06T21:00:00.000Z,25.40,0.1094,696.4
2026-07-06T22:00:00.000Z,26.41,0.1215,702.2
2026-07-06T23:00:00.000Z,24.57,0.1288,631.9
2026-07-07T00:00:00.000Z,20.94,0.1418,558.9
2026-07-07T01:00:00.000Z,20.91,0.1417,511.3
2026-07-07T02:00:00.000Z,18.40,0.1342,446.7
2026-07-07T03:00:00.000Z,16.81,0.1379,429.2
2026-07-07T04:00:00.000Z,15.29,0.1311,375.3
2026-07-07T05:00:00.000Z,12.69,0.1101,369.5
2026-07-07T06:00:00.000Z,12.01,0.1218,395.5
2026-07-07T07:00:00.000Z,10.95,0.1014,382.9
2026-07-07T08:00:00.000Z,9.14,0.0960,415.6
2026-07-07T09:00:00.000Z,8.93,0.0955,427.5
2026-07-07T10:00:00.000Z,10.03,0.0826,415.9
2026-07-07T11:00:00.000Z,11.18,0.0803,487.8
